Model,FPR,TPR,Threshold
CatBoost,0.005544207761890867,0.16963243873978998,0.8723320425266611
CatBoost,0.005690107966151153,0.16963243873978998,0.8721995686418794
CatBoost,0.005690107966151153,0.1706534422403734,0.8711419186749826
CatBoost,0.005836008170411439,0.1706534422403734,0.8710958882414197
CatBoost,0.005836008170411439,0.1709451575262544,0.8709619501242939
CatBoost,0.006419608987452583,0.1709451575262544,0.8705236481603459
CatBoost,0.006419608987452583,0.17109101516919487,0.8704248579581223
CatBoost,0.006565509191712868,0.17109101516919487,0.870401887614413
CatBoost,0.006565509191712868,0.17357059509918318,0.868531045480186
CatBoost,0.006711409395973154,0.17357059509918318,0.8684657875145685
CatBoost,0.006711409395973154,0.17984247374562426,0.8646815308399802
CatBoost,0.007003209804493727,0.17984247374562426,0.8646635463729577
CatBoost,0.007003209804493727,0.18173862310385064,0.8632976301374212
CatBoost,0.0071491100087540125,0.18173862310385064,0.863209440993965
CatBoost,0.0071491100087540125,0.18275962660443407,0.8626508451179101
CatBoost,0.00758681062153487,0.18275962660443407,0.8623631170721964
CatBoost,0.00758681062153487,0.1852392065344224,0.8607329978822903
CatBoost,0.0077327108257951565,0.1852392065344224,0.8605308599517223
CatBoost,0.0077327108257951565,0.18655192532088682,0.8596350047080962
CatBoost,0.007878611030055441,0.18655192532088682,0.8596147602496856
CatBoost,0.007878611030055441,0.1883022170361727,0.8583312313566864
CatBoost,0.008024511234315728,0.1883022170361727,0.8580678137411762
CatBoost,0.008024511234315728,0.18888564760793466,0.8579616216520014
CatBoost,0.008170411438576015,0.18888564760793466,0.8578729814242974
CatBoost,0.008170411438576015,0.1894690781796966,0.8575918583356771
CatBoost,0.0083163116428363,0.1894690781796966,0.8573680365427963
CatBoost,0.0083163116428363,0.1897607934655776,0.8572875125781053
CatBoost,0.008462211847096586,0.1897607934655776,0.8572848951305806
CatBoost,0.008462211847096586,0.19049008168028006,0.856497946445009
CatBoost,0.008608112051356871,0.19049008168028006,0.8564725755406759
CatBoost,0.008608112051356871,0.191073512252042,0.8562410057212874
CatBoost,0.008899912459877445,0.191073512252042,0.8560865658561916
CatBoost,0.008899912459877445,0.19165694282380397,0.8556910396468922
CatBoost,0.00904581266413773,0.19165694282380397,0.8555882464254589
CatBoost,0.00904581266413773,0.19224037339556593,0.8551575045174793
CatBoost,0.009337613072658301,0.19224037339556593,0.8551287336758254
CatBoost,0.009337613072658301,0.19457409568261377,0.8533359433363257
CatBoost,0.009483513276918588,0.19457409568261377,0.8533044741883454
CatBoost,0.009483513276918588,0.19588681446907819,0.8526599245011378
CatBoost,0.009629413481178874,0.19588681446907819,0.8524096906019182
CatBoost,0.009629413481178874,0.1970536756126021,0.8519658592312491
CatBoost,0.00977531368543916,0.1970536756126021,0.8519324925182564
CatBoost,0.00977531368543916,0.19953325554259044,0.850000686617854
CatBoost,0.009921213889699446,0.19953325554259044,0.8495944536287608
CatBoost,0.009921213889699446,0.20040840140023336,0.8489298699616419
CatBoost,0.010067114093959731,0.20040840140023336,0.8489277268032005
CatBoost,0.010067114093959731,0.20186697782963828,0.848332470598362
CatBoost,0.010213014298220018,0.20186697782963828,0.8480113420856091
CatBoost,0.010213014298220018,0.20245040840140024,0.8477761158484775
CatBoost,0.010358914502480304,0.20245040840140024,0.8477348284911977
CatBoost,0.010358914502480304,0.2028879813302217,0.8473863482094072
CatBoost,0.01050481470674059,0.2028879813302217,0.8472960261988118
CatBoost,0.01050481470674059,0.20361726954492415,0.8469623624557044
CatBoost,0.010650714911000876,0.20361726954492415,0.8469612243789567
CatBoost,0.010650714911000876,0.2044924154025671,0.8463326724279518
CatBoost,0.01079661511526116,0.2044924154025671,0.8462143576188488
CatBoost,0.01079661511526116,0.20478413068844808,0.846192578855015
CatBoost,0.010942515319521447,0.20478413068844808,0.8460954062113167
CatBoost,0.010942515319521447,0.20507584597432907,0.845916287604837
CatBoost,0.011088415523781734,0.20507584597432907,0.8458885934571366
CatBoost,0.011088415523781734,0.20536756126021002,0.8458334428299451
CatBoost,0.011234315728042019,0.20536756126021002,0.8458255562759761
CatBoost,0.011234315728042019,0.2060968494749125,0.8452779330994961
CatBoost,0.011380215932302306,0.2060968494749125,0.845243360097199
CatBoost,0.011380215932302306,0.20770128354725786,0.8442314550537972
CatBoost,0.01152611613656259,0.20770128354725786,0.8441230645509018
CatBoost,0.01152611613656259,0.20799299883313885,0.8439988981026473
CatBoost,0.011672016340822877,0.20799299883313885,0.8438622967676298
CatBoost,0.011672016340822877,0.21426487747957992,0.8399641161203109
CatBoost,0.011817916545083164,0.21426487747957992,0.8398071688849463
CatBoost,0.011817916545083164,0.2164527421236873,0.8383509445442975
CatBoost,0.011963816749343449,0.2164527421236873,0.8381747620097958
CatBoost,0.011963816749343449,0.2177654609101517,0.8374862378653881
CatBoost,0.01225561715786402,0.2177654609101517,0.8373199809532675
CatBoost,0.01225561715786402,0.21834889148191367,0.8367431605429543
CatBoost,0.012547417566384594,0.21834889148191367,0.8365581325933812
CatBoost,0.012547417566384594,0.21849474912485414,0.8365026648947799
CatBoost,0.012693317770644879,0.21849474912485414,0.8363711601984625
CatBoost,0.012693317770644879,0.2192240373395566,0.835999010254202
CatBoost,0.012839217974905165,0.2192240373395566,0.8359592655406534
CatBoost,0.012839217974905165,0.22024504084014002,0.83502474102709
CatBoost,0.01298511817916545,0.22024504084014002,0.8349898214013123
CatBoost,0.01298511817916545,0.22126604434072344,0.8340695100713399
CatBoost,0.013422818791946308,0.22126604434072344,0.8340209825559259
CatBoost,0.013422818791946308,0.22155775962660443,0.8338892689378589
CatBoost,0.013568718996206595,0.22155775962660443,0.8337807134130774
CatBoost,0.013568718996206595,0.22301633605600935,0.8326402001614969
CatBoost,0.013860519404727167,0.22301633605600935,0.8325521091774611
CatBoost,0.013860519404727167,0.2234539089848308,0.8323529576092492
CatBoost,0.014006419608987453,0.2234539089848308,0.8322027536156837
CatBoost,0.014006419608987453,0.2265169194865811,0.8303235182680606
CatBoost,0.014152319813247738,0.2265169194865811,0.8302518300735424
